,id
1307,413518
1308,501979
1309,591629
1310,529203
1311,417466
1312,587792
1313,520725
1314,390635
1315,590995
1316,551804
1317,585244
1318,583132
1319,521007
1320,531219
1321,718444
1322,425001
1323,726739
1324,595149
1325,611605
1326,594718
1327,413518
1328,501979
1329,591629
1330,529203
1331,417466
1332,587792
1333,520725
1334,390635
1335,590995
1336,551804
1337,585244
1338,583132
1339,521007
1340,531219
1341,718444
1342,425001
1343,726739
1344,595149
1345,611605
1346,594718
1347,413518
1348,501979
1349,591629
1350,529203
1351,417466
1352,587792
1353,520725
1354,390635
1355,590995
1356,551804
1357,585244
1358,583132
1359,521007
1360,531219
1361,718444
1362,425001
1363,726739
1364,595149
1365,611605
1366,594718
1367,413518
1368,501979
1369,591629
1370,529203
1371,417466
1372,587792
1373,520725
1374,390635
1375,590995
1376,551804
1377,585244
1378,583132
1379,521007
1380,531219
1381,718444
1382,425001
1383,726739
1384,595149
1385,611605
1386,594718
1387,413518
1388,501979
1389,591629
1390,529203
1391,417466
1392,587792
1393,520725
1394,390635
1395,590995
1396,551804
1397,585244
1398,583132
1399,521007
1400,531219
1401,718444
1402,425001
1403,726739
1404,595149
1405,611605
1406,594718
1407,413518
1408,501979
1409,591629
1410,529203
1411,417466
1412,587792
1413,520725
1414,390635
1415,590995
1416,551804
1417,585244
1418,583132
1419,521007
1420,531219
1421,718444
1422,425001
1423,726739
1424,595149
1425,611605
1426,594718
1427,413518
1428,501979
1429,591629
1430,529203
1431,417466
1432,587792
1433,520725
1434,390635
1435,590995
1436,551804
1437,585244
1438,583132
1439,521007
1440,531219
1441,718444
1442,425001
1443,726739
1444,595149
1445,611605
1446,594718
1447,413518
1448,501979
1449,591629
1450,529203
1451,417466
1452,587792
1453,520725
1454,390635
1455,590995
1456,551804
1457,585244
1458,583132
1459,521007
1460,531219
1461,718444
1462,425001
1463,726739
1464,595149
1465,611605
1466,594718
1467,413518
1468,501979
1469,591629
1470,529203
1471,417466
1472,587792
1473,520725
1474,390635
1475,590995
1476,551804
1477,585244
1478,583132
1479,521007
1480,531219
1481,718444
1482,425001
1483,726739
1484,595149
1485,611605
1486,594718
1487,413518
1488,501979
1489,591629
1490,529203
1491,417466
1492,587792
1493,520725
1494,390635
1495,590995
1496,551804
1497,585244
1498,583132
1499,521007
1500,531219
1501,718444
1502,425001
1503,726739
1504,595149
1505,611605
1506,594718
1507,413518
1508,501979
1509,591629
1510,529203
1511,417466
1512,587792
1513,520725
1514,390635
1515,590995
1516,551804
1517,585244
1518,583132
1519,521007
1520,531219
1521,718444
1522,425001
1523,726739
1524,595149
1525,611605
1526,594718
1527,413518
1528,501979
1529,591629
1530,529203
1531,417466
1532,587792
1533,520725
1534,390635
1535,590995
1536,551804
1537,585244
1538,583132
1539,521007
1540,531219
1541,718444
1542,425001
1543,726739
1544,595149
1545,611605
1546,594718
1547,413518
1548,501979
1549,591629
1550,529203
1551,417466
1552,587792
1553,520725
1554,390635
1555,590995
1556,551804
1557,585244
1558,583132
1559,521007
1560,531219
1561,718444
1562,425001
1563,726739
1564,595149
1565,611605
1566,594718
1567,413518
1568,501979
1569,591629
1570,529203
1571,417466
1572,587792
1573,520725
1574,390635
1575,590995
1576,551804
1577,585244
1578,583132
1579,521007
1580,531219
1581,718444
1582,425001
1583,726739
1584,595149
1585,611605
1586,594718
1587,413518
1588,501979
1589,591629
1590,529203
1591,417466
1592,587792
1593,520725
1594,390635
1595,590995
1596,551804
1597,585244
1598,583132
1599,521007
1600,531219
1601,718444
1602,425001
1603,726739
1604,595149
1605,611605
1606,594718
1607,413518
1608,501979
1609,591629
1610,529203
1611,417466
1612,587792
1613,520725
1614,390635
1615,590995
1616,551804
1617,585244
1618,583132
1619,521007
1620,531219
1621,718444
1622,425001
1623,726739
1624,595149
1625,611605
1626,594718
1627,413518
1628,501979
1629,591629
1630,529203
1631,417466
1632,587792
1633,520725
1634,390635
1635,590995
1636,551804
1637,585244
1638,583132
1639,521007
1640,531219
1641,718444
1642,425001
1643,726739
1644,595149
1645,611605
1646,594718
1647,413518
1648,501979
1649,591629
1650,529203
1651,417466
1652,587792
1653,520725
1654,390635
1655,590995
1656,551804
1657,585244
1658,583132
1659,521007
1660,531219
1661,718444
1662,425001
1663,726739
1664,595149
1665,611605
1666,594718
1667,413518
1668,501979
1669,591629
1670,529203
1671,417466
1672,587792
1673,520725
1674,390635
1675,590995
1676,551804
1677,585244
1678,583132
1679,521007
1680,531219
1681,718444
1682,425001
1683,726739
1684,595149
1685,611605
1686,594718
1687,413518
1688,501979
1689,591629
1690,529203
1691,417466
1692,587792
1693,520725
1694,390635
1695,590995
1696,551804
1697,585244
1698,583132
1699,521007
1700,531219
1701,718444
1702,425001
1703,726739
1704,595149
1705,611605
1706,594718
1707,413518
1708,501979
1709,591629
1710,529203
1711,417466
1712,587792
1713,520725
1714,390635
1715,590995
1716,551804
1717,585244
1718,583132
1719,521007
1720,531219
1721,718444
1722,425001
1723,726739
1724,595149
1725,611605
1726,594718
1727,413518
1728,501979
1729,591629
1730,529203
1731,417466
1732,587792
1733,520725
1734,390635
1735,590995
1736,551804
1737,585244
1738,583132
1739,521007
1740,531219
1741,718444
1742,425001
1743,726739
1744,595149
1745,611605
1746,594718
1747,413518
1748,501979
1749,591629
1750,529203
1751,417466
1752,587792
1753,520725
1754,390635
1755,590995
1756,551804
1757,585244
1758,583132
1759,521007
1760,531219
1761,718444
1762,425001
1763,726739
1764,595149
1765,611605
1766,594718
1767,413518
1768,501979
1769,591629
1770,529203
1771,417466
1772,587792
1773,520725
1774,390635
1775,590995
1776,551804
1777,585244
1778,583132
1779,521007
1780,531219
1781,718444
1782,425001
1783,726739
1784,595149
1785,611605
1786,594718
1787,413518
1788,501979
1789,591629
1790,529203
1791,417466
1792,587792
1793,520725
1794,390635
1795,590995
1796,551804
1797,585244
1798,583132
1799,521007
1800,531219
1801,718444
1802,425001
1803,726739
1804,595149
1805,611605
1806,594718
1807,413518
1808,501979
1809,591629
1810,529203
1811,417466
1812,587792
1813,520725
1814,390635
1815,590995
1816,551804
1817,585244
1818,583132
1819,521007
1820,531219
1821,718444
1822,425001
1823,726739
1824,595149
1825,611605
1826,594718
1827,413518
1828,501979
1829,591629
1830,529203
1831,417466
1832,587792
1833,520725
1834,390635
1835,590995
1836,551804
1837,585244
1838,583132
1839,521007
1840,531219
1841,718444
1842,425001
1843,726739
1844,595149
1845,611605
1846,594718
1847,413518
1848,501979
1849,591629
1850,529203
1851,417466
1852,587792
1853,520725
1854,390635
1855,590995
1856,551804
1857,585244
1858,583132
1859,521007
1860,531219
1861,718444
1862,425001
1863,726739
1864,595149
1865,611605
1866,594718
1867,413518
1868,501979
1869,591629
1870,529203
1871,417466
1872,587792
1873,520725
1874,390635
1875,590995
1876,551804
1877,585244
1878,583132
1879,521007
1880,531219
1881,718444
1882,425001
1883,726739
1884,595149
1885,611605
1886,594718
