,popularity,vote_count,id,original_language,genre_ids,title,vote_average,overview,release_date
10,220.103,0,611605,en,"[53, 18, 27]",1BR,0.0,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she think she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment — it chose her.",2020-11-26
11,190.127,772,413518,it,"[14, 10751, 12, 18]",Pinocchio,6.7,"In this live-action adaptation of the beloved fairytale, old woodcarver Geppetto fashions a wooden puppet, Pinocchio, who magically comes to life. Pinocchio longs for adventure and is easily led astray, encountering magical beasts, fantastical spectacles, while making friends and foes along his journey. However, his dream is to become a real boy, which can only come true if he finally changes his ways.",2019-12-19
12,181.735,111,590995,en,"[27, 18, 14]",The Craft: Legacy,6.4,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,2020-10-28
13,133.132,3,529203,en,"[12, 14, 10751, 16]",The Croods: A New Age,5.7,"After leaving their cave, the Croods encounter their biggest threat since leaving: another family called the Bettermans, who claim to be better and evolved. But after Eep and the Bettermans' only daughter escape, the two families must put aside their differences to save them.",2020-11-19
14,112.049,185,417466,es,"[18, 53]",Monos,6.8,"On a faraway mountaintop, eight kids with guns watch over a hostage and a conscripted milk cow.",2019-09-05
15,109.504,13,551804,en,"[27, 53, 35]",Freaky,7.9,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",2020-11-11
16,88.027,176,520725,fr,"[14, 12, 35]",The Lost Prince,5.8,"Djibi lives alone with Sofia, his 8-year-old daughter. Every night, he invents a story to put him to sleep. When Sofia falls asleep, these extraordinary stories come to life somewhere in an imaginary world inhabited by knights, pirates and other dragons. In this world that belongs only to them, Sofia is always the princess to save, and the brave Prince is none other than Djibi himself.  But 3 years later, the entry of Sofia to the college will mark the end of her childhood. To the despair of her father, she no longer needs her stories at night. On the one hand, Djibi will have to accept that his daughter will grow up and move away from him. On the other hand, in the World of Stories, the Prince will have to face the most epic of all his adventures. Find your destiny in a world where it no longer has a place.",2020-02-12
17,82.825,47,399363,en,"[14, 12, 10751]",Wendy,6.5,"A re-imagining of ""Peter Pan"" from the point of view of Wendy Darling, who finds herself lost on a mysterious island where aging and time have come unglued. She must fight to save her family, her freedom and the joyous spirit of youth.",2020-02-28
18,83.343,690,587792,en,"[35, 10749, 14, 9648]",Palm Springs,7.5,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",2020-07-10
19,80.518,0,652004,en,"[27, 53]",The Wolf of Snow Hollow,0.0,A stressed-out police officer struggles not to give in to the paranoia that grips his small mountain town as bodies turn up after each full moon.,2020-12-10
0,85.878,679,585244,en,"[18, 10402]",I Still Believe,7.8,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,2020-03-12
1,74.2,18,390635,ja,[16],Fate/stay night: Heaven's Feel III. Spring Song,4.4,"As Sakura drowns in the murky darkness of the sins she has committed, Shirō's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirō's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide?",2020-08-15
2,70.569,7,605499,en,"[18, 10749]",Monsoon,4.3,"Kit can’t remember much of his native Vietnam. When he returns to the Land of the Golden Star for the first time in over thirty years, he takes in his local surroundings as any Western tourist would, and the environment is as exotic as the language is incomprehensible. The aim of Kit’s travels – to find a place to scatter his parents’ ashes – thus becomes part of a journey back to his roots and to the discovery of his identity, which external circumstances have rendered ambiguous and complex.",2020-09-25
3,76.483,49,583132,ja,[27],Sadako,6.5,"A group of people must find out how to stop the newborn deadly curse, which has born and gone viral after a Youtuber accidentally captured a vengeful ghost on camera.",2019-05-24
4,68.268,36,610201,en,"[27, 37]",The Pale Door,6.1,"The Dalton gang escape to a nearby town after a train robbery goes south, but they are met by a coven of witches with sinister plans for the unsuspecting outlaws.",2020-08-21
5,54.134,7,527400,en,"[14, 12, 18]",Come Away,5.9,"Before Alice went to Wonderland, and before Peter became Pan, they were brother and sister. When their eldest brother dies in a tragic accident, they each seek to save their parents from their downward spirals of despair until finally they are forced to choose between home and imagination, setting the stage for their iconic journeys into Wonderland and Neverland.",2020-11-12
6,53.043,0,458576,en,"[14, 28, 12]",Monster Hunter,0.0,"A portal transports Lt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",2020-12-03
7,62.501,15,661950,en,"[27, 53]",Alone,6.1,"When an outbreak hits, Aidan barricades himself inside his apartment and starts rationing food. His complex is overrun by infected Screamers, and with the world falling apart into chaos, he is left completely alone fighting for his life.",2020-11-18
8,36.296,7,516632,en,"[80, 18, 27]",The Empty Man,6.3,"After a group of teens from a small Midwestern town begin to mysteriously disappear, the locals believe it is the work of an urban legend known as The Empty Man. As a retired cop investigates and struggles to make sense of the stories, he discovers a secretive group and their attempts to summon a horrific, mystical entity, and soon his life—and the lives of those close to him—are in grave danger.",2020-10-22
9,46.252,151,585077,ja,"[16, 14, 12, 9648]",Children of the Sea,7.2,"Ruka is a young girl whose parents are separated and whose father works in an aquarium. When two boys, Umi and Sora, who were raised in the sea by dugongs, are brought to the aquarium, Ruka feels drawn to them and begins to realize that she has the same sort of supernatural connection to the ocean that they do. Umi and Sora's special power seems to be connected to strange events that have been occurring more and more frequently, such as the appearance of sea creatures far from their home territory and the disappearance of aquarium animals around the world. However, the exact nature of the boys' power and of the abnormal events is unknown, and Ruka gets drawn into investigating the mystery that surrounds her new friends.",2019-06-07
