,id,title,popularity,vote_count,vote_average,original_language,release_date,avg_vote_6+,en = lang,release_month,release_day,release_year
40,622420,The Jack in the Box,15.264000000000001,45,4.7,en,2020-02-17,0,1,2,17,2020
43,472734,Dumplin',18.053,1035,6.9,en,2018-12-20,1,1,12,20,2018
45,658009,Ip Man: Kung Fu Master,16.176,6,6.3,zh,2019-12-23,1,1,12,23,2019
47,614560,Mank,17.757,2,8.5,en,2020-11-06,1,1,11,6,2020
48,480434,Dreamland,17.44,4,7.0,en,2020-11-13,1,1,11,13,2020
50,650783,The Comeback Trail,17.268,2,8.5,en,2020-11-12,1,1,11,12,2020
51,76,Before Sunrise,18.003,2495,7.9,en,1995-01-27,1,1,1,27,1995
53,450322,The Man Who Invented Christmas,19.494,469,6.7,en,2017-10-12,1,1,10,12,2017
54,522098,Babyteeth,17.622,78,6.6,en,2020-06-18,1,1,6,18,2020
56,574436,Piranhas,15.11,336,6.8,it,2019-02-14,1,1,2,14,2019
59,132344,Before Midnight,12.501,1457,7.5,en,2013-04-05,1,1,4,5,2013
60,661804,De Gaulle,17.355,131,6.3,fr,2020-03-04,1,1,3,4,2020
61,533514,Violet Evergarden: The Movie,14.292,7,6.4,ja,2020-09-18,1,1,9,18,2020
62,586742,Dreambuilders,15.347999999999999,19,7.1,da,2020-02-06,1,0,2,6,2020
65,507441,Sea Fever,14.857999999999999,62,5.8,en,2020-06-12,0,1,6,12,2020
66,602654,Horizon Line,13.583,3,4.7,en,2020-10-29,0,1,10,29,2020
67,588709,Faustina: Love and Mercy,14.055,8,8.1,pl,2019-03-29,1,1,3,29,2019
69,615115,The Secrets We Keep,17.007,33,6.2,en,2020-09-16,1,1,9,16,2020
72,80,Before Sunset,12.177999999999999,2072,7.8,en,2004-02-10,1,1,2,10,2004
73,681580,Cross the Line,11.452,10,6.5,es,2020-10-16,1,1,10,16,2020
77,13754,Tekkonkinkreet,10.279000000000002,211,7.5,ja,2006-12-11,1,1,12,11,2006
78,481375,Malevolent,14.793,218,4.9,en,2018-12-13,0,1,12,13,2018
80,759917,요가학원: 죽음의 쿤달리니,15.989,1,6.0,ko,2020-11-18,1,1,11,18,2020
81,580175,Another Round,11.265999999999998,76,8.0,da,2020-10-08,1,0,10,8,2020
84,520946,100% Wolf,13.308,10,7.0,en,2020-05-07,1,1,5,7,2020
85,575776,Saint Maud,11.110999999999999,8,7.6,en,2020-10-09,1,1,10,9,2020
95,548544,Invisible Life,12.478,158,8.1,pt,2019-08-30,1,1,8,30,2019
